ISO 639-3	Language Name	Region
ood	Tohono O'odham	North America
ess	Yupik, Saint Lawrence Island	North America/Arctic
gwi	Gwich'in	North America/Arctic
# ============================================================
# SOUTH AMERICA (125 languages)
# ============================================================
aca	Achagua	South America
acr	Achi	South America
acu	Achuar-Shiwiar	South America
guq	Aché	South America
cni	Asháninka	South America
cjo	Ashéninka, Pajonal	South America
cpu	Ashéninka, Pichis	South America
cpb	Ashéninka, Ucayali-Yurúa	South America
kwi	Awa-Cuaiquer	South America
agr	Awajún	South America
ayr	Aymara, Central	South America
ayo	Ayoreo	South America
boa	Bora	South America
bor	Borôro	South America
cbv	Cacua	South America
kaq	Capanahua	South America
cot	Caquinte	South America
cbc	Carapana	South America
car	Carib	South America
cbi	Chachi	South America
ceg	Chamacoco	South America
cap	Chipaya	South America
cax	Chiquitano	South America
crq	Chorote, Iyo'wujwa	South America
crt	Chorote, Iyojwa'ja	South America
con	Cofán	South America
cui	Cuiba	South America
des	Desano	South America
cto	Embera Catío	South America
emp	Emberá, Northern	South America
enx	Enxet	South America
sja	Epena	South America
mcq	Ese	South America
ese	Ese Ejja	South America
guh	Guahibo	South America
gub	Guajajára	South America
grn	Guarani	South America
gyr	Guarayu	South America
guo	Guayabero	South America
ign	Ignaciano	South America
inb	Inga	South America
urb	Kaapor	South America
cbr	Kakataibo-Kashibo	South America
kay	Kamayurá	South America
cbu	Kandozi-Chapra	South America
cbs	Kashinawa	South America
kyz	Kayabí	South America
txu	Kayapó	South America
coe	Koreguaje	South America
cul	Kulina	South America
kvn	Kuna, Border	South America
cuk	Kuna, San Blas	South America
myy	Macuna	South America
mbc	Macushi	South America
mcb	Matsigenka	South America
gum	Misak	South America
bmr	Muinane	South America
nab	Nambikuára, Southern	South America
pbb	Nasa	South America
not	Nomatsigenga	South America
pab	Parecís	South America
pbc	Patamona	South America
pad	Paumarí	South America
pir	Piratapuyo	South America
pui	Puinave	South America
quy	Quechua, Ayacucho	South America
qvc	Quechua, Cajamarca	South America
quz	Quechua, Cusco	South America
qve	Quechua, Eastern Apurímac	South America
qub	Quechua, Huallaga	South America
qvh	Quechua, Huamalíes-Dos de Mayo Huánuco	South America
qwh	Quechua, Huaylas Ancash	South America
qvw	Quechua, Huaylla Wanca	South America
quf	Quechua, Lambayeque	South America
qvm	Quechua, Margos-Yarowilca-Lauricocha	South America
qul	Quechua, North Bolivian	South America
qvn	Quechua, North Junín	South America
qxn	Quechua, Northern Conchucos Ancash	South America
qxh	Quechua, Panao	South America
qvs	Quechua, San Martín	South America
quh	Quechua, South Bolivian	South America
qxo	Quechua, Southern Conchucos	South America
qxr	Quichua, Cañar Highland	South America
qvo	Quichua, Napo	South America
qvz	Quichua, Northern Pastaza	South America
qxl	Quichua, Salasaca Highland	South America
quw	Quichua, Tena Lowland	South America
xsu	Sanumá	South America
